BtConnectionManagerService.dll
0x410000 IOCTL_BTH_GET_LOCAL_INFO
0x410008 IOCTL_BTH_GET_DEVICE_INFO
0x41000c IOCTL_BTH_DISCONNECT_DEVICE
0x4100d8 IOCTL_BTH_DISCONNECT_DEVICE_EX
0x4100e4 IOCTL_BTH_LE_ENTER_ACTIVE_SCANNING
0x410200 IOCTL_BTH_SDP_CONNECT
0x410204 IOCTL_BTH_SDP_DISCONNECT
0x410210 IOCTL_BTH_SDP_SERVICE_ATTRIBUTE_SEARCH
0x410214 IOCTL_BTH_SDP_SUBMIT_RECORD
0x410218 IOCTL_BTH_SDP_REMOVE_RECORD
0x41021c IOCTL_BTH_SDP_SUBMIT_RECORD_WITH_INFO
0x411000 IOCTL_BTH_INQUIRY_DEVICE
0x411004 IOCTL_BTH_AUTH_RESPONSE
0x411008 IOCTL_BTH_UPDATE_SETTINGS
0x41100c IOCTL_BTH_PERSONALIZE_DEVICE
0x411010 IOCTL_BTH_PAIR_DEVICE
0x411014 IOCTL_BTH_UNPAIR_DEVICE
0x411018 IOCTL_BTH_QUERY_UNPAIR_DEVICE
0x411020 IOCTL_BTH_SCAN_ENABLE
0x411030 IOCTL_BTH_UPDATE_DEVICE
0x411038 IOCTL_BTH_GET_DEVICE_PROTOCOLS_INFO
0x41104c IOCTL_BTH_SET_LOCAL_SERVICE_INFO
0x411058 IOCTL_BTH_GET_DEVICE_INFO_EX
0x41110c IOCTL_BTH_UNPAIR_DEVICE_EX
0x411cc4 IOCTL_BTH_WP8_ALLOW_INCOMING_SCO
0x411cc8 IOCTL_BTH_WP8_FORBID_INCOMING_SCO
0x411ccc IOCTL_BTH_WP8_CONNECT_SCO
0x411cd0 IOCTL_BTH_WP8_DISCONNECT_SCO
0x411d00 IOCTL_BTH_WP8_L2CAP_REGISTER
0x411d04 IOCTL_BTH_WP8_L2CAP_UNREGISTER
0x411d08 IOCTL_BTH_WP8_L2CAP_LISTEN
0x411d0c IOCTL_BTH_WP8_L2CAP_CONNECT
0x411d10 IOCTL_BTH_WP8_L2CAP_ATTACH
0x411d14 IOCTL_BTH_WP8_L2CAP_DISPOSE
0x414010 IOCTL_BTHLEENUM_READ_GATT_EVENT
0x414014 IOCTL_BTHLEENUM_READ_QUEUE_ACTIVATE

bthl2cap.sys
0x220003 IOCTL_BTHHFP_GET_DEVICEOBJECT
0x220007 IOCTL_BTHHFP_DEVICE_GET_KSNODETYPES
0x22000b IOCTL_BTHHFP_DEVICE_GET_CONTAINERID
0x22000f IOCTL_BTHHFP_DEVICE_REQUEST_CONNECT
0x220013 IOCTL_BTHHFP_DEVICE_REQUEST_DISCONNECT
0x220017 IOCTL_BTHHFP_DEVICE_GET_CONNECTION_STATUS_UPDATE
0x22001b IOCTL_BTHHFP_SPEAKER_SET_VOLUME
0x22001f IOCTL_BTHHFP_SPEAKER_GET_VOLUME_STATUS_UPDATE
0x220023 IOCTL_BTHHFP_MIC_SET_VOLUME
0x220027 IOCTL_BTHHFP_MIC_GET_VOLUME_STATUS_UPDATE
0x22002b IOCTL_BTHHFP_STREAM_OPEN
0x22002f IOCTL_BTHHFP_STREAM_CLOSE
0x220033 IOCTL_BTHHFP_STREAM_GET_STATUS_UPDATE
0x22003c IOCTL_BTHHFP_DEVICE_GET_CODEC_ID
0x220193 IOCTL_BTHHFP_DEVICE_GET_DESCRIPTOR
0x220197 IOCTL_BTHHFP_DEVICE_GET_VOLUMEPROPERTYVALUES
0x410007 IOCTL_INTERNAL_BTHENUM_GET_enumInfo
0x411cc0 IOCTL_BTH_WP8_INITIALIZE_AUDIO_DEVICE
0x411cc4 IOCTL_BTH_WP8_ALLOW_INCOMING_SCO
0x411cc8 IOCTL_BTH_WP8_FORBID_INCOMING_SCO
0x411ccc IOCTL_BTH_WP8_CONNECT_SCO
0x411cd0 IOCTL_BTH_WP8_DISCONNECT_SCO
0x411cd4 IOCTL_BTH_WP8_SET_AUDIO_CONNECTED
0x411cd8 IOCTL_BTH_WP8_SET_AUDIO_DISCONNECTED
0x411cdc IOCTL_BTH_WP8_CHANGE_SPEAKER_VOLUME
0x411ce0 IOCTL_BTH_WP8_CHANGE_MICROPHONE_VOLUME
0x411ce4 IOCTL_BTH_WP8_GET_AUDIO_INDICATION
0x411ce8 IOCTL_BTH_WP8_SET_CODEC_ID

bthmini.sys
0x410403
0x410407
0x41040b
